Mel Loss,Accuracy,PESQ
9.051520347595215,0.625,4.3078109677364225
10.245301246643066,0.5,4.454357211605902
10.487367630004883,0.875,4.527692538823521
10.504716873168945,0.75,4.253071571082974
9.029035568237305,0.75,4.454668225513637
7.375288009643555,0.75,4.602192371769873
10.51922607421875,0.625,4.192203363150243
10.509452819824219,0.75,4.288956066929492
10.422731399536133,0.875,4.45271578777854
10.511497497558594,0.5,4.334971068520593
9.112472534179688,0.75,4.515811212140991
10.463648796081543,0.625,4.551006967139647
10.443127632141113,0.625,4.593916951504791
10.460528373718262,0.75,4.624588308100246
10.288922309875488,0.625,4.614034094393702
9.48227596282959,0.75,4.172334519387583
8.45170783996582,0.75,4.382279943036398
9.015898704528809,0.75,4.499406053449113
10.31644058227539,0.75,4.360665561438789
8.323531150817871,0.75,4.338149100866466
10.493947982788086,0.5,4.443001568938978
9.82292652130127,0.75,4.250571049652607
10.479799270629883,0.75,4.298858470667613
10.426008224487305,1.0,4.626055136779127
10.455517768859863,0.625,4.637678837205663
7.575201034545898,0.75,4.625953190205281
9.013062477111816,0.75,4.605578371083557
9.63254451751709,0.625,4.358166568209564
6.11472749710083,0.875,4.300747214847998
10.500712394714355,0.625,4.2315553749042705
10.496289253234863,0.75,4.52901297458994
6.614901065826416,0.875,4.312041256798693
10.149202346801758,0.625,4.3674621002779315
10.481201171875,0.875,4.527137858682925
10.479024887084961,0.75,4.546264756322794
9.951943397521973,0.625,4.472758711524172
10.49666690826416,0.625,4.418995881697045
9.11037826538086,0.5,4.489544143770476
9.696517944335938,0.875,4.276139091251838
8.156803131103516,0.625,4.510534056078769
8.203091621398926,0.625,4.5254610432504245
4.152646541595459,0.625,4.358710461414912
9.49852466583252,0.875,4.628053471810573
9.805936813354492,0.625,4.348285865676074
9.526589393615723,0.625,4.469220937819176
8.823107719421387,0.75,4.469131227119044
10.165772438049316,0.875,4.313419947659268
10.493744850158691,0.75,4.427415571247653
6.311837196350098,0.875,4.611862475618251
10.46933364868164,0.625,4.512702404393684
10.022773742675781,0.5,4.509255549469243
10.509000778198242,0.875,4.3284028629486535
10.506975173950195,0.625,4.306500678267767
8.08988094329834,0.625,4.621318863495615
10.502490997314453,0.625,4.365009458846462
9.961102485656738,0.75,4.32559441373345
10.514524459838867,0.75,4.310564747383636
7.524363994598389,0.75,4.2736059432268
10.459330558776855,1.0,4.580176222784806
10.490546226501465,0.75,4.537647223036418
6.908010005950928,0.75,4.2537760134476885
10.052019119262695,0.75,4.299822697706289
10.314126014709473,0.75,4.577788505566122
9.54119873046875,0.875,4.555176951428053
8.24521541595459,0.75,4.360353249023764
5.556488990783691,0.875,4.618336377850232
7.669124126434326,0.625,4.566940456447115
10.487890243530273,0.875,4.357169357237215
10.500727653503418,0.75,4.32441312300837
9.612308502197266,0.75,4.4483923984001095
10.532873153686523,0.75,4.3047105535703185
10.500319480895996,0.75,4.527353988258873
10.436409950256348,1.0,4.5274037588244935
10.520795822143555,0.75,4.4566892168559775
10.483914375305176,0.625,4.609087828891501
9.64482307434082,0.75,4.375472001151108
7.861965656280518,0.75,3.594610886572531
6.664307594299316,0.625,4.328775504809549
10.431658744812012,0.75,4.616705175612593
10.501723289489746,0.75,4.51725228383524
8.335655212402344,0.5,4.456891313908252
9.145816802978516,0.75,4.585522372045543
8.889870643615723,0.5,4.333913569428743
7.8577704429626465,0.875,4.486475231771228
9.445136070251465,0.625,4.523229967622276
9.603246688842773,0.5,4.389459979187258
10.447477340698242,0.5,4.61994191025317
10.51223373413086,0.625,4.259136288896187
10.474919319152832,0.5,4.4925878318824335
9.949907302856445,0.75,4.384194018179469
10.497209548950195,0.875,4.3749360434583755
10.222989082336426,0.75,4.296044380675798
6.097610950469971,0.625,4.4129478577503845
9.705222129821777,0.625,4.3021119773952305
9.342580795288086,0.75,4.630237006257421
9.931795120239258,0.75,4.2277487986672355
8.985458374023438,0.75,4.3931665939121185
6.290488243103027,0.875,4.267516312997619
8.817631721496582,0.875,4.372507579855725
7.872679233551025,0.75,4.355874520960793
8.370233535766602,0.625,4.363088071879551
10.376591682434082,0.75,4.5295797995941385
9.079354286193848,0.75,4.5081490305900855
10.495328903198242,0.5,4.25710244235022
8.136269569396973,0.75,4.247684116005722
8.709010124206543,0.5,4.438128666014946
6.552608489990234,0.75,3.9278484632319866
10.040078163146973,0.75,4.599972507712741
6.36767578125,0.625,4.231994505879042
6.796609878540039,0.5,4.546197347731787
9.72332763671875,0.75,4.434211313507687
10.270834922790527,0.625,4.240240052697108
7.020538330078125,0.625,4.335228289231159
10.464787483215332,0.75,4.6208740571977724
8.98308277130127,0.875,4.6166899346464145
10.427679061889648,0.75,4.631885657550187
9.207868576049805,0.5,4.4881530152138165
10.478571891784668,0.75,4.3616033812145805
10.501779556274414,0.75,4.205495605630564
10.485570907592773,0.75,4.487664014804703
10.164292335510254,0.875,4.2546332060682825
10.43393325805664,0.375,4.547727126721413
9.205206871032715,0.625,4.244087148309566
6.896324157714844,0.75,4.587208105013279
10.482722282409668,0.875,4.608691726668212
10.504315376281738,0.875,4.233777932958083
7.806981086730957,0.625,4.3770744118682465
8.143171310424805,0.75,4.519386644340287
10.482807159423828,0.875,4.527849167073437
10.51142406463623,0.625,4.28012584219532
10.077110290527344,0.875,4.392123452648163
7.559651851654053,0.625,4.450035376787936
6.714008808135986,0.625,4.314640471987089
8.531401634216309,0.875,4.307192128620991
8.458227157592773,0.625,4.123164157811057
8.804098129272461,0.625,4.278700562990529
10.30148696899414,0.875,3.99711397044398
8.881436347961426,0.5,4.520815061546897
10.45395565032959,0.875,4.425331762960439
10.513747215270996,0.375,4.249756548615664
8.290811538696289,0.875,4.505209630166909
10.495506286621094,0.75,4.551843148011125
7.034402370452881,0.75,4.49766371836059
7.654656887054443,0.625,4.578383602123782
10.102706909179688,0.75,4.351263905178603
10.485671043395996,0.625,4.550038960470099
8.63737678527832,0.5,4.382433891394505
10.49788761138916,0.75,4.473369762787232
6.361910343170166,0.5,4.594096144619949
10.24965763092041,0.5,4.482375705603496
